Stage,ID,Run Time (hr),input_step,input_step_N-1,input_step_N-1_N-2,input_step_N-1_N-2_N-3,glc,glc_after,lac,vcd,viab,base
N-3,1001,0,0,0,0,0,40.10962013,40.10962013,4.464642799,0.41845187,97.85815712,0
N-3,1001,10,1,1,1,1,38.85519064,38.85519064,6.276432898,0.405805488,97.36163769,26.75287496
N-3,1001,20,2,2,2,2,38.10767219,38.10767219,9.119406555,0.472734137,96.9323344,26.88630846
N-3,1001,30,3,3,3,3,36.16244769,36.16244769,12.51252278,0.65282568,95.85768756,26.77818066
N-3,1001,40,4,4,4,4,33.62645364,33.62645364,16.32666197,0.889612681,96.41808934,27.51360185
N-3,1001,50,5,5,5,5,32.36103608,32.36103608,19.99373528,1.025768191,95.08047838,94.05055162
N-3,1001,60,6,6,6,6,29.6816845,29.6816845,22.65759837,0.94661826,97.07700525,191.1194532
N-2,1001,0,0,0,0,7,57.68769694,57.68769694,4.636995569,0.368924994,97.55809449,109.9725753
N-2,1001,10,1,1,1,8,57.37913874,57.37913874,6.034612751,0.502149956,96.04580935,0
N-2,1001,20,2,2,2,9,56.24623238,56.24623238,7.888094019,0.583457748,97.63849258,0
N-2,1001,30,3,3,3,10,55.48252925,55.48252925,10.2164664,0.585755043,98.03233539,0
N-2,1001,40,4,4,4,11,56.65243381,56.65243381,13.26834725,0.642293266,97.23599062,0
N-2,1001,50,5,5,5,12,51.66149153,51.66149153,16.30309263,1.141852435,95.10086073,0
N-2,1001,60,6,6,6,13,50.6861689,50.6861689,18.67209744,1.387578858,97.23895731,36.72586533
N-1,1001,0,0,0,7,14,62.47904573,62.47904573,5.43444007,0.628582982,98.52916988,0
N-1,1001,10,1,1,8,15,61.27414692,61.27414692,7.304581428,0.688615905,99.1169955,0
N-1,1001,20,2,2,9,16,60.96744601,60.96744601,10.45020614,0.883305548,97.06138202,0
N-1,1001,30,3,3,10,17,59.94211555,59.94211555,14.07089803,1.110928981,94.95656861,0
N-1,1001,40,4,4,11,18,57.54971179,57.54971179,17.31809384,1.320450881,96.24559567,0
N-1,1001,50,5,5,12,19,55.5724401,55.5724401,19.99380527,1.613204093,97.94001698,115.3386164
N-1,1001,60,6,6,13,20,51.52510049,51.52510049,22.2781988,0.709460506,99.44905283,2777.346583
N,1001,0,0,7,14,21,63.1951997,63.1951997,7.381360666,1.028277883,98.50306069,0
N,1001,10,1,8,15,22,62.47576311,62.47576311,8.930450597,1.290655966,98.00710861,0
N,1001,20,2,9,16,23,59.75036486,59.75036486,11.61658908,1.581226056,97.67973164,0
N,1001,30,3,10,17,24,56.84817885,56.84817885,14.56244481,1.814551729,97.78562882,0
N,1001,40,4,11,18,25,53.96232345,53.96232345,17.49427772,2.208517612,97.37667814,0
N,1001,50,5,12,19,26,52.73780688,52.73780688,20.13357862,2.625797429,97.51384707,25.38362048
N,1001,60,6,13,20,27,48.48245108,48.48245108,22.09698977,3.05327857,96.68680221,3597.385253
N,1001,70,7,14,21,28,44.85440924,77.63270485,23.1802483,3.580796823,95.28646027,16505.64971
N,1001,80,8,15,22,29,75.74860244,75.74860244,23.6714681,4.218205167,94.52252385,28704.4125
N,1001,90,9,16,23,30,71.90937826,71.90937826,23.96802086,4.888158212,94.76535098,38353.88698
N,1001,100,10,17,24,31,67.55727974,67.55727974,23.95812086,5.418962668,94.64692526,43257.88517
N,1001,110,11,18,25,32,63.97429574,63.97429574,23.83970025,5.942173214,95.43151999,48675.16346
N,1001,120,12,19,26,33,59.48126799,59.48126799,23.27666412,6.343420298,94.49006234,54812.72207
N,1001,130,13,20,27,34,56.20428245,56.20428245,22.93209383,6.430243369,94.10928553,63481.65204
N,1001,140,14,21,28,35,51.37997129,51.37997129,23.55375458,6.418928023,95.15090057,76515.04693
N,1001,150,15,22,29,36,44.95854635,44.95854635,24.86737038,6.491994893,95.33653607,88493.23859
N,1001,160,16,23,30,37,40.13628437,40.13628437,26.69052599,6.595444788,96.39715256,104052.2382
N,1001,170,17,24,31,38,33.58848095,33.58848095,28.75676477,6.182987235,96.56585183,120806.9035
N,1001,180,18,25,32,39,27.91426126,27.91426126,31.28082024,5.839705899,96.16543421,138730.693
N,1001,190,19,26,33,40,22.73040515,22.73040515,33.54290064,6.067668423,93.45462814,150710.7056
N,1001,200,20,27,34,41,18.63664615,18.63664615,34.51390898,6.287969471,90.83539657,154233.3846
N,1001,210,21,28,35,42,14.63975936,44.95546834,35.00233942,6.428032687,91.66378146,156615.9041
N,1001,220,22,29,36,43,41.71867052,41.71867052,34.74662983,6.295191633,89.90220508,171656.8265
N,1001,230,23,30,37,44,37.91787558,37.91787558,34.54008149,6.112173368,88.39550414,172738.7819
N,1001,240,24,31,38,45,34.77109805,34.77109805,34.03459434,5.961841199,84.39053904,173008.8951
N,1001,250,25,32,39,46,27.78475057,27.78475057,32.87286127,5.917135746,81.20969568,174384.1655
N,1001,260,26,33,40,47,27.05890585,27.05890585,31.08573964,5.885072332,79.80498235,174370.552
